8,20,37,16,39
5,37,30,23,16
1,4,13,5,34
27,17,5,28,22
14,35,32,39,29
21,14,20,35,4
22,16,28,13,11
31,7,27,21,13
29,42,14,21,34
15,18,42,22,3
45,16,2,5,35
28,5,36,25,38
45,8,24,37,35
19,20,43,10,4
11,19,6,29,17
27,5,2,15,42
29,13,44,11,17
10,36,6,43,9
11,45,12,19,43
10,37,35,36,18
38,22,32,7,3
21,44,13,18,27
15,6,2,14,8
5,3,43,7,42
1,24,28,31,22
3,40,10,34,25
23,40,10,17,14
25,43,24,28,15
36,26,44,27,13
45,32,2,34,21
29,2,19,12,30
14,16,39,36,27
19,7,2,21,12
43,13,15,29,36
13,41,7,28,42
14,29,33,44,10
6,13,5,43,22
4,42,14,39,24
16,25,24,31,4
25,41,18,36,22
40,4,20,32,7
37,20,24,1,25
12,25,7,34,3
33,43,10,40,15
10,34,1,41,40
20,29,22,16,42
13,31,39,17,14
44,33,34,26,25
1,42,40,12,36
42,30,40,39,35
27,41,25,15,30
42,11,20,23,1
11,31,10,20,16
2,44,23,9,10
15,25,36,23,9
42,16,41,39,13
41,28,17,12,26
14,22,3,35,20
12,30,42,5,25
10,1,19,17,18
19,31,32,44,23
7,13,23,2,34
22,31,26,36,34
36,11,43,2,12
23,41,36,32,12
8,25,1,6,34
15,21,4,1,44
45,39,9,38,41
45,36,1,16,31
12,35,39,33,40
41,43,30,1,31
30,37,10,8,44
11,17,22,40,23
1,20,12,40,15
29,26,1,13,4
19,4,6,8,16
26,31,35,1,42
8,10,30,7,28
26,3,31,9,12
1,41,36,11,8
30,31,23,6,5
43,9,40,12,44
17,40,10,18,41
17,6,14,2,21
1,26,17,30,28
45,44,37,43,15
25,1,5,30,39
1,32,15,9,24
41,7,34,17,15
39,16,19,29,35
28,33,32,26,11
8,26,14,7,17
41,24,6,34,39
4,34,6,37,44
26,41,28,16,17
23,12,3,22,40
8,30,25,41,33
43,34,9,21,35
12,7,33,44,15
9,28,15,17,37
14,31,34,30,19
36,26,1,3,6
18,1,24,23,10
32,25,12,35,8
37,19,20,32,22
11,35,9,29,36
7,26,17,42,25
31,8,17,19,45
39,36,10,12,21
27,34,44,1,42
2,25,1,14,8
39,33,42,45,22
38,39,12,15,40
15,11,3,17,40
6,44,9,28,34
10,24,28,26,18
17,39,11,14,38
2,22,19,12,32
33,41,43,34,44
45,4,19,42,3
39,45,38,12,35
21,44,1,8,12
9,38,33,28,26
21,7,40,26,28
24,16,26,42,7
44,1,22,13,38
32,37,19,18,39
10,23,20,5,16
22,23,44,7,33
17,1,25,27,19
16,29,15,35,42
43,9,6,13,4
1,38,14,11,34
1,18,29,44,10
23,27,28,33,17
24,5,22,12,20
38,18,29,7,39
31,35,4,40,8
18,20,30,33,19
20,25,44,45,36
11,41,6,27,21
22,8,40,36,3
44,14,12,5,10
23,32,8,9,29
7,45,20,8,17
20,6,39,35,40
14,36,4,20,22
18,15,11,13,8
1,3,11,2,40
7,41,23,29,3
21,10,22,44,4
26,11,30,25,34
17,5,19,39,45
14,1,24,4,20
3,16,8,32,28
8,38,4,3,12
31,28,14,16,42
1,22,38,45,15
8,18,39,34,22
23,37,9,42,19
44,14,37,34,1
7,17,42,21,25
7,29,42,12,17
39,29,3,44,17
43,34,13,3,2
26,41,15,9,11
34,45,22,10,30
45,2,32,15,35
4,42,3,2,18
42,27,41,38,5
43,32,21,23,38
30,4,22,2,3
31,4,16,5,6
22,16,15,4,33
35,25,21,10,11
3,16,9,5,28
12,37,39,24,43
14,44,33,3,18
34,11,35,15,37
41,1,5,28,10
21,6,20,1,43
42,3,35,6,38
9,36,3,6,11
14,13,30,38,23
12,8,20,29,17
16,2,28,20,31
13,9,4,18,27
30,35,23,26,42
8,12,30,25,17
33,18,9,44,3
5,13,17,32,4
21,35,28,10,29
41,32,34,6,13
27,25,37,33,35
15,40,39,29,5
5,24,44,32,8
43,8,41,12,11
19,9,25,17,15
8,33,32,3,12
41,15,6,32,21
22,44,7,33,25
18,40,26,13,20
18,33,19,5,28
33,26,35,29,19
28,16,1,25,27
14,39,34,44,11
8,3,6,37,20
25,32,41,37,34
18,22,8,42,24
11,26,44,24,33
37,41,29,28,24
15,9,30,7,16
34,38,10,42,24
35,44,25,30,3
4,16,5,22,27
1,43,29,5,15
23,5,41,13,14
3,15,29,32,42
21,31,5,18,27
7,3,20,24,10
41,30,37,20,4
45,27,3,17,28
2,19,22,29,38
16,37,33,23,40
18,42,28,22,5
10,33,16,30,5
36,33,22,10,27
36,14,41,24,37
13,33,27,42,38
12,24,40,4,8
20,13,42,11,22
6,36,2,13,37
8,5,20,41,7
16,37,18,1,28
28,25,11,23,20
34,24,23,12,5
37,25,35,28,45
18,44,39,34,14
42,40,11,36,44
38,30,33,44,7
17,9,2,22,28
28,14,39,42,32
24,44,39,30,5
8,26,6,19,24
43,37,24,44,8
23,18,12,24,27
13,44,27,7,14
21,44,29,41,31
42,6,31,13,34
41,5,29,14,35
13,32,24,3,29
43,23,6,4,29
36,38,37,43,24
11,4,18,29,31
32,12,24,44,8
20,16,14,23,22
34,29,41,33,27
18,44,32,33,2
30,40,24,20,8
27,39,40,9,31
23,39,10,29,28
23,13,7,15,45
14,28,24,32,20
15,6,17,25,45
13,4,3,22,16
45,31,23,34,1
24,37,19,15,8
31,23,26,6,20
8,26,39,34,30
30,28,2,34,20
40,11,38,35,6
33,39,32,9,18
29,17,25,31,38
41,26,9,4,24
11,4,25,37,31
36,20,9,12,1
20,16,22,32,3
2,26,18,23,6
36,18,14,44,32
31,2,40,11,8
16,30,13,12,36
33,37,5,41,9
42,28,6,13,22
7,3,19,38,36
3,37,17,13,22
36,5,39,45,10
15,22,27,10,25
13,26,5,11,27
38,2,4,26,7
9,39,36,14,38
36,18,16,26,12
37,32,30,20,12
21,26,25,40,41
3,14,42,13,39
43,32,20,19,23
29,10,30,43,11
1,9,19,22,33
8,6,28,42,31
20,4,45,28,42
36,22,32,18,1
33,40,10,38,32
23,3,14,29,27
12,32,29,42,10
27,33,23,19,8
23,15,43,32,33
33,45,42,14,39
45,18,28,15,16
16,17,39,30,12
38,37,25,27,11
19,30,24,33,14
5,12,32,19,18
24,42,34,12,15
7,42,1,15,43
26,39,10,12,8
11,19,13,9,30
40,2,34,3,12
9,45,29,14,17
26,11,44,33,2
13,10,1,39,34
10,1,23,31,19
33,12,37,22,41
13,16,23,2,8
35,21,32,3,8
36,31,12,4,8
2,45,20,16,13
10,39,42,8,15
7,38,18,32,4
9,30,35,29,2
2,38,23,25,32
36,44,16,31,38
23,16,17,27,40
16,2,3,14,39
29,23,1,15,9
17,45,16,8,36
1,12,41,33,9
4,21,20,42,3
37,34,16,29,14
31,4,15,20,27
2,31,14,38,25
