8,20,37,16,39,9
5,37,30,23,16,12
1,4,13,5,34,10
27,17,5,28,22,8
14,35,32,39,29,20
21,14,20,35,4,10
22,16,28,13,11,13
31,7,27,21,13,3
29,42,14,21,34,13
15,18,42,22,3,14
45,16,2,5,35,13
28,5,36,25,38,3
45,8,24,37,35,20
19,20,43,10,4,16
11,19,6,29,17,16
27,5,2,15,42,19
29,13,44,11,17,9
10,36,6,43,9,17
11,45,12,19,43,17
10,37,35,36,18,3
38,22,32,7,3,20
21,44,13,18,27,18
15,6,2,14,8,2
5,3,43,7,42,20
1,24,28,31,22,4
3,40,10,34,25,10
23,40,10,17,14,20
25,43,24,28,15,17
36,26,44,27,13,9
45,32,2,34,21,6
29,2,19,12,30,7
14,16,39,36,27,2
19,7,2,21,12,2
43,13,15,29,36,16
13,41,7,28,42,4
14,29,33,44,10,16
6,13,5,43,22,11
4,42,14,39,24,6
16,25,24,31,4,3
25,41,18,36,22,20
40,4,20,32,7,4
37,20,24,1,25,11
12,25,7,34,3,8
33,43,10,40,15,5
10,34,1,41,40,6
20,29,22,16,42,1
13,31,39,17,14,14
44,33,34,26,25,7
1,42,40,12,36,19
42,30,40,39,35,18
27,41,25,15,30,15
42,11,20,23,1,8
11,31,10,20,16,15
2,44,23,9,10,19
15,25,36,23,9,8
42,16,41,39,13,8
41,28,17,12,26,7
14,22,3,35,20,8
12,30,42,5,25,9
10,1,19,17,18,16
19,31,32,44,23,7
7,13,23,2,34,18
22,31,26,36,34,15
36,11,43,2,12,14
23,41,36,32,12,3
8,25,1,6,34,14
15,21,4,1,44,14
45,39,9,38,41,19
45,36,1,16,31,16
12,35,39,33,40,2
41,43,30,1,31,8
30,37,10,8,44,4
11,17,22,40,23,8
1,20,12,40,15,12
29,26,1,13,4,2
19,4,6,8,16,5
26,31,35,1,42,4
8,10,30,7,28,17
26,3,31,9,12,11
1,41,36,11,8,4
30,31,23,6,5,19
43,9,40,12,44,8
17,40,10,18,41,13
17,6,14,2,21,2
1,26,17,30,28,17
45,44,37,43,15,5
25,1,5,30,39,7
1,32,15,9,24,14
41,7,34,17,15,10
39,16,19,29,35,15
28,33,32,26,11,13
8,26,14,7,17,8
41,24,6,34,39,13
4,34,6,37,44,10
26,41,28,16,17,10
23,12,3,22,40,13
8,30,25,41,33,7
43,34,9,21,35,3
12,7,33,44,15,8
9,28,15,17,37,12
14,31,34,30,19,16
36,26,1,3,6,18
18,1,24,23,10,8
32,25,12,35,8,7
37,19,20,32,22,2
11,35,9,29,36,5
7,26,17,42,25,1
31,8,17,19,45,12
39,36,10,12,21,1
27,34,44,1,42,14
2,25,1,14,8,19
39,33,42,45,22,1
38,39,12,15,40,17
15,11,3,17,40,10
6,44,9,28,34,16
10,24,28,26,18,18
17,39,11,14,38,11
2,22,19,12,32,1
33,41,43,34,44,5
45,4,19,42,3,11
39,45,38,12,35,1
21,44,1,8,12,10
9,38,33,28,26,10
21,7,40,26,28,11
24,16,26,42,7,11
44,1,22,13,38,6
32,37,19,18,39,14
10,23,20,5,16,16
22,23,44,7,33,20
17,1,25,27,19,7
16,29,15,35,42,12
43,9,6,13,4,9
1,38,14,11,34,9
1,18,29,44,10,20
23,27,28,33,17,4
24,5,22,12,20,7
38,18,29,7,39,4
31,35,4,40,8,3
18,20,30,33,19,7
20,25,44,45,36,20
11,41,6,27,21,20
22,8,40,36,3,9
44,14,12,5,10,5
23,32,8,9,29,9
7,45,20,8,17,17
20,6,39,35,40,6
14,36,4,20,22,1
18,15,11,13,8,5
1,3,11,2,40,1
7,41,23,29,3,17
21,10,22,44,4,15
26,11,30,25,34,7
17,5,19,39,45,20
14,1,24,4,20,7
3,16,8,32,28,4
8,38,4,3,12,1
31,28,14,16,42,19
1,22,38,45,15,19
8,18,39,34,22,19
23,37,9,42,19,13
44,14,37,34,1,13
7,17,42,21,25,3
7,29,42,12,17,4
39,29,3,44,17,12
43,34,13,3,2,18
26,41,15,9,11,8
34,45,22,10,30,9
45,2,32,15,35,11
4,42,3,2,18,7
42,27,41,38,5,3
43,32,21,23,38,20
30,4,22,2,3,7
31,4,16,5,6,15
22,16,15,4,33,7
35,25,21,10,11,11
3,16,9,5,28,18
12,37,39,24,43,16
14,44,33,3,18,11
34,11,35,15,37,13
41,1,5,28,10,3
21,6,20,1,43,8
42,3,35,6,38,16
9,36,3,6,11,20
14,13,30,38,23,11
12,8,20,29,17,13
16,2,28,20,31,3
13,9,4,18,27,18
30,35,23,26,42,18
8,12,30,25,17,3
33,18,9,44,3,16
5,13,17,32,4,12
21,35,28,10,29,9
41,32,34,6,13,8
