43,36,23,41,47,26,-1
25,38,41,8,31,39,-1
32,3,38,13,19,22,-1
14,20,30,6,18,23,-1
35,11,31,15,6,49,-1
8,6,21,46,12,15,-1
30,31,2,20,34,7,-1
37,5,25,15,39,41,-1
18,40,24,29,2,8,-1
3,46,1,47,37,26,-1
28,14,35,23,13,36,-1
47,27,35,31,34,30,-1
19,31,45,26,32,48,-1
17,36,4,48,34,27,-1
6,10,38,42,48,15,-1
12,22,42,45,17,20,-1
10,33,4,32,7,40,-1
16,4,48,45,42,15,-1
19,43,39,3,49,23,-1
7,4,28,18,11,42,-1
42,49,24,5,11,35,-1
41,10,3,4,45,47,-1
19,37,17,20,4,7,-1
34,37,43,7,40,12,-1
18,6,9,44,14,30,-1
43,41,45,40,5,2,-1
32,41,16,1,27,21,-1
23,1,3,42,31,37,-1
15,31,39,41,42,23,-1
46,49,34,11,13,21,-1
23,1,13,21,14,31,-1
23,16,7,29,11,5,-1
41,49,9,4,12,24,-1
25,23,27,10,49,21,-1
7,28,5,41,30,26,-1
4,3,38,48,40,7,-1
33,7,32,1,42,40,-1
1,46,20,18,7,14,-1
11,2,24,42,9,32,-1
45,25,3,10,43,13,-1
13,18,29,20,1,42,-1
29,39,45,27,11,9,-1
31,45,47,13,43,30,-1
18,43,26,17,7,15,-1
12,29,24,10,31,19,-1
32,41,24,20,45,49,-1
9,48,5,22,30,21,-1
5,4,12,25,28,29,-1
27,41,40,26,49,23,-1
29,36,14,21,6,7,-1
10,29,26,22,31,41,-1
15,29,11,40,33,24,-1
43,9,23,36,6,26,-1
4,24,2,14,22,6,-1
30,37,9,48,28,7,-1
13,28,15,39,32,46,-1
11,28,31,35,40,45,-1
12,42,38,31,8,34,16
9,15,17,25,18,31,24
29,4,11,36,15,1,33
11,38,4,34,28,40,48
25,18,14,31,22,40,48
48,31,22,27,29,16,42
13,24,39,8,33,49,42
9,28,3,19,12,48,49
34,32,43,44,47,42,25
35,8,43,22,11,10,12
35,9,41,17,45,33,40
46,17,34,2,26,12,45
23,33,27,32,38,29,9
13,33,49,42,44,5,47
33,38,8,42,16,11,31
7,10,26,47,11,15,2
11,44,29,18,40,35,43
26,29,24,27,47,42,1
13,47,32,48,33,25,7
35,32,7,1,3,27,39
2,16,25,3,23,30,21
41,42,11,12,9,16,6
22,36,4,44,1,14,29
41,23,6,46,13,47,22
35,22,42,4,32,27,49
24,29,28,12,25,22,32
1,23,46,17,8,20,21
47,36,9,6,5,42,48
39,16,7,35,29,2,17
19,26,41,18,34,30,32
19,38,12,24,4,33,46
46,27,5,8,25,18,15
37,22,16,36,15,17,18
18,26,47,28,44,29,22
17,28,21,31,19,25,16
26,32,46,15,30,29,40
45,46,14,36,40,28,12
14,21,37,46,29,38,34
22,13,44,30,18,29,21
16,25,1,2,15,29,22
45,28,32,37,44,12,1
11,30,38,6,3,44,19
11,40,18,36,35,8,12
32,25,27,49,2,22,29
33,8,45,17,28,10,14
8,41,34,17,19,14,29
37,15,46,49,2,24,13
9,38,26,19,32,40,44
48,9,43,30,46,14,1
30,5,24,22,48,26,18
37,2,16,40,32,43,17
1,6,2,7,35,40,25
30,39,26,37,42,6,16
27,15,11,2,39,47,4
19,31,27,1,40,14,47
43,17,27,48,20,3,26
35,20,5,12,9,34,6
40,49,38,48,36,14,42
35,42,36,2,15,12,38
2,43,46,27,19,5,22
18,22,12,11,20,36,48
5,34,37,47,13,15,21
36,7,17,40,43,13,18
42,6,2,31,44,8,40
26,21,10,44,13,34,47
33,25,5,45,42,40,41
48,19,46,22,29,23,27
24,6,38,14,34,23,44
49,43,25,30,44,47,46
28,44,41,42,15,21,24
34,46,14,39,43,32,6
3,27,17,16,1,19,26
17,32,6,23,44,41,38
31,19,18,21,17,16,30
10,28,45,29,17,4,16
27,14,19,40,10,30,44
25,10,15,12,18,3,38
37,9,31,20,8,6,39
42,43,5,37,2,49,38
27,22,31,5,8,45,3
43,19,9,4,26,17,36
3,45,26,28,19,8,15
